"ordospaceInventoryId","ordospaceRoleRoutes","ordospaceComponent","existingLocationFunction","currentStates","salesopsId","salesopsComponent","salesopsZipEvidence","salesopsCodeEvidence","liveEvidence","officialV0Evidence","classification","classificationReason","derivedBasis","preserveLayout","preserveData","preserveFunction","visualToMigrate","forbiddenCopy","responsiveStrategy","accessibilityRequirements","implementationRound","verificationRound","verificationMethod","uncertainty","completionStatus","implementationTarget","evidence"
"UI-011","shared","metric card factory","title/value/subtext","normal, positive, warning, critical","SO-CARD-002","Metric card","components/dashboard/metric-card.tsx","MetricCard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Metric card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 3","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/metric-card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-012","shared","progress track","current/total","0, partial, complete, overflow-safe","SO-PROGRESS-001","Progress","components/ui/progress.tsx","Progress","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Progress tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 3","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/progress.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-013","shared","ModuleCard factory","lifecycle record and click target","pending, progress, review, revision, done, approved","SO-SHELL-001","Dashboard Shell","app/page.tsx","Dashboard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Dashboard Shell tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","app/page.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-014","shared","empty-state panel","contextual text/action","empty, no-filter-results","SO-STATE-005","Empty","components/ui/empty.tsx","Empty","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Empty tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/empty.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-015","shared","toolbar/filter group","filter state","default, hover, focus, selected, disabled","SO-FILTER-001","Filter controls","components/dashboard/sections/deals.tsx","selectedFilter","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Filter controls tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/sections/deals.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-016","shared","tab group","selected panel","default, hover, active, focus","SO-TAB-001","Tab","components/ui/tabs.tsx","Tabs","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Tab tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/tabs.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-017","shared","modal/dialog shell","title/body/actions","closed/open, error, destructive confirm","SO-DIALOG-001","Modal/Dialog","components/ui/dialog.tsx","Dialog","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Modal/Dialog tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/dialog.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-018","shared","side/bottom sheet shell","form/detail content","closed/open, validation, submitting","SO-SHEET-001","Drawer/Sheet","components/ui/sheet.tsx","Sheet","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Drawer/Sheet tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/sheet.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-019","shared","table shell","exact columns/rows","populated, empty, hover, long cell","SO-TABLE-001","Table","components/ui/table.tsx","Table","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Table tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/table.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-020","shared","form controls","exact labels/values","default, focus, error, disabled, submitting","SO-INPUT-001","Input","components/ui/input.tsx","Input","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Input tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 4","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/input.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-021","client/dashboard","dashboard KPI row","ModuleCard counts","populated/zero/warn","SO-CARD-002","Metric card","components/dashboard/metric-card.tsx","MetricCard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Metric card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/metric-card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-022","client/dashboard","project step progress","project progress","completed/current/pending","SO-PROGRESS-001","Progress","components/ui/progress.tsx","Progress","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Derived","Combine SO-PROGRESS-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Combine SO-PROGRESS-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Progress tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/progress.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-023","client/dashboard","chain progress group","design/dev/ops approved totals","zero/partial/complete","SO-PROGRESS-001","Progress","components/ui/progress.tsx","Progress","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Progress tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/progress.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
